entity,so_lan,so_file,cac_file
chụp cắt lớp vi tính (ct) đầu,2,1,59
phân có guaiac,2,1,69
Nội soi đại tràng,2,1,69
alp,2,1,70
bilirubin toàn phần,2,1,70
siêu âm bụng có doppler,2,1,70
chụp hida,2,1,70
các xét nghiệm chức năng gan,2,1,72
bilirubin,2,1,72
ercp (nội soi mật tụy ngược dòng),2,1,72
lấy mẫu tế bào bằng chổi,2,1,72
điện tim,2,1,75
lactate,2,2,"84,96"
xét nghiệm máu,2,2,"92,97"
canxi ion hóa,2,1,100
siêu âm tim qua thành ngực,1,1,1
ecg,1,1,1
Chụp cộng hưởng từ mật tụy,1,1,4
Cộng hưởng từ mật tụy,1,1,4
chụp cộng hưởng từ mật tụy tụi mật,1,1,4
ast (aspartate aminotransferase),1,1,5
alt (alanine aminotransferase),1,1,5
phosphatase kiềm (ap),1,1,5
bilirubin toàn phần (tbili),1,1,5
bạch cầu (wbc),1,1,5
siêu âm Doppler động mạch,1,1,6
siêu âm doppler hai chiều,1,1,6
Kết quả xét nghiệm tế bào học từ dịch chọc hút,1,1,8
tế bào học từ dịch chọc hút,1,1,8
siêu âm tử cung,1,1,9
cea (kháng nguyên ung thư phôi),1,1,10
mri vùng chậu,1,1,10
Xạ hình tưới máu cơ tim,1,1,14
huyết khối,1,1,16
siêu âm vùng cổ phải,1,1,17
neutrophil,1,1,17
lymphocyte,1,1,17
chem 7,1,1,17
ck,1,1,17
hiv vl,1,1,17
soi tươi ký sinh trùng,1,1,17
xạ hình tưới máu cơ tim mibi,1,1,20
xạ hình tưới máu cơ tim  mibi,1,1,20
chụp xạ hình tim bằng mibi,1,1,20
CT sọ não,1,1,23
cấy mẫu bệnh phẩm,1,1,24
lipase,1,1,28
tbr,1,1,28
chụp ct bụng chậu,1,1,28
xạ hình thông khí - tưới máu phổi,1,1,32
Xạ hình thông khí – tưới máu phổi,1,1,32
kali (k),1,1,37
ure (bun),1,1,37
hemoglobin,1,1,37
hba1c,1,1,37
cúm,1,1,37
glucose,1,1,38
bun (ure),1,1,38
công thức máu,1,1,39
Kết quả chụp cắt lớp vi tính,1,1,39
số lượng bạch cầu,1,1,40
thông tim,1,1,43
thông tim trái,1,1,43
chụp tim mạch,1,1,43
chụp mạch máu thận,1,1,46
lưu lượng đỉnh thở ra,1,1,50
mrcp (chụp cộng hưởng từ mật tụy),1,1,52
chụp x-quang,1,1,54
nghiệm pháp gắng sức trên máy chạy bộ,1,1,56
chụp cộng hưởng từ (mri) cột sống cổ,1,1,57
chụp cắt lớp vi tính,1,1,61
nhịp tim,1,1,63
bun/creatinine,1,1,63
"chụp ct bụng, chậu, không thuốc cản quang",1,1,63
hct (hematocrit),1,1,66
tiểu cầu (platelets),1,1,66
hco3- (bicarbonate),1,1,66
bun/creatinine (ure/creatinine),1,1,66
glucose (đường huyết),1,1,66
lactate (acid lactat),1,1,66
ua (urinalysis - tổng phân tích nước tiểu),1,1,66
chụp x-quang bàn chân phải,1,1,66
chụp cắt lớp vi tính ổ bụng,1,1,69
tổng bilirubin,1,1,70
nồng độ acetaminophen,1,1,70
total bili,1,1,70
bảng xét nghiệm viêm gan virus,1,1,70
ferritin,1,1,70
ceruloplasmin,1,1,70
hệ số tống máu,1,1,71
áp lực nạp,1,1,71
áp lực tâm thu phổi,1,1,71
áp lực tĩnh mạch bít,1,1,71
xét nghiệm huyết thanh,1,1,72
chụp cắt lớp vi tính (ct) bụng và chậu,1,1,74
EKG,1,1,75
thử nghiệm gắng sức,1,1,76
k (kali),1,1,76
phosphate,1,1,76
điện tâm đồ (ekg),1,1,76
chỉ số bão hòa oxy,1,1,78
chụp cắt lớp vi tính (ct) cột sống cổ,1,1,80
chụp cắt lớp vi tính (ct) lồng ngực,1,1,80
chụp cắt lớp vi tính (ct) sọ,1,1,81
chụp cắt lớp vi tính (ct) bụng,1,1,81
Ure,1,1,82
photpho,1,1,82
độ bão hòa oxy (SPO2),1,1,84
Đo sức bền cơ tim bằng đồng vị phóng xạ,1,1,86
Chụp động mạch vành can thiệp,1,1,86
Xquang ngực thẳng,1,1,96
svo2,1,1,96
cvp,1,1,96
huyết áp tâm thu,1,1,97
tiểu cầu,1,1,97
đường huyết lúc đói,1,1,97
phim chụp CT,1,1,98
Định lượng IgA,1,1,98
canxi,1,1,100
canxi toàn phần,1,1,100
canx toàn phầni,1,1,100
MRI ngoại trú,1,1,100
