entity,so_lan,so_file,cac_file
chảy máu âm đạo,1,1,74
khí hư bất thường,1,1,74
thay đổi cân nặng,1,1,74
đau ngực sau xương ức,1,1,76
Đau ngực dữ dội sau xương ức,1,1,76
ý nghĩ tự bắn vào đầu,1,1,77
trầm cảm,1,1,77
các giai đoạn giống hưng cảm,1,1,77
tăng hoạt động,1,1,77
giảm nhu cầu ngủ,1,1,77
ý nghĩ tự tử,1,1,77
nghĩ tự bắn vào đầu,1,1,77
lo âu,1,1,77
hoảng sợ,1,1,77
hoang tưởng như đang chiếm khí oxy của người khác,1,1,77
khó thở kéo dài,1,1,78
"khó thở liên tục, nhất là khi nằm",1,1,78
khó thở tăng,1,1,86
Khó thở tăng khi vận động gắng sức,1,1,86
"Đi lại khó khăn, cần dùng gậy hỗ trợ đi lại",1,1,86
Đau hai bàn chân do bệnh lý thần kinh ngoại biên,1,1,86
buồn chán,1,1,87
Phù chân trái và hoại tử ngày càng nặng,1,1,88
phù chân,1,1,88
phù chân và hoại tử nặng lên,1,1,88
Phù 2 chân nặng,1,1,88
chảy dịch vàng và có hoại tử đen kích thước 2*4 cm,1,1,88
"chân sonde dẫn lưu sưng nề, đỏ",1,1,89
"chân sonde dẫn lưu ổ bụng sưng nề, đỏ",1,1,89
ý thúc chậm hơn,1,1,92
đau bụng vùng hạ sườn phải ngày càng tăng,1,1,94
"đi ngoài phân lỏng, toàn nước",1,1,94
đau bụng tăng lên,1,1,94
nôn nhiều,1,1,94
"Buồn nôn, nôn ra thức ăn và dịch dạ dày, không có máu",1,1,94
đau bụng sau khi uống sữa,1,1,95
đau âm ỉ vùng quanh rốn,1,1,95
đau bụng âm ỉ quanh rốn sau khí uống sữa,1,1,95
xuất huyết dưới da,1,1,95
"đau âm ỉ vùng quanh rốn, hạ sườn trái từng cơni",1,1,95
buồn nôn nhẹ,1,1,95
Cảm giác khát nước,1,1,96
"Da khô, nếp véo da mất chậm",1,1,96
đau hông từng cơn,1,1,96
Mạch nhanh,1,1,96
Tim nhịp nhanh đều,1,1,96
đau toàn thân ít,1,1,97
đau ngực ít,1,1,97
đau lưng,1,1,98
động kinh,1,1,100
đau ở sau đầu và cổ từ khi bị ngã trong bồn tắm năm ngoái đến nay,1,1,100
