entity,so_lan,so_file,cac_file
50 inch,1,1,71
12,1,1,74
sóng ST chênh xuống ở các chuyển đạo v4 đến v6,1,1,75
nhịp xoang,1,1,75
91 lần/phút,1,1,75
Sóng ST chênh xuống  ở các chuyển đạo v4 đến v6,1,1,75
0.03,1,1,76
2.0 -> 3.2,1,1,76
5.4,1,1,76
5.6,1,1,76
dưới 90 %,1,1,78
không thấy tổn thương,1,1,80
5.2,1,1,82
6.3 mg/dl (460 - 557 umol/l),1,1,82
69,1,1,82
91 mg/dl ( 24.6 -32.5 mmol/l),1,1,82
8.4,1,1,82
từ 88-92 %,1,1,84
26.7,1,1,84
4227,1,1,84
3.2,1,1,84
1.8,1,1,84
"có kết quả dương tính  với 182bạch cầuvài vi khuẩn (vi khuẩn), nitrite",1,1,84
chẩn đoán hình ảnh không cho thấy quá trình bệnh lý tim mạch hoặc hô hấp cấp tính,1,1,84
dị tật cố định vùng trước vách và vách dưới với  giảm chức năng tâm thu thất trái nghiêm trọng kèm theo rối loạn chức năng thất trái,1,1,86
không phát hiện huyết khối tĩnh mạch sâu,1,1,89
dưới ngưỡng điều trị,1,1,91
1.7,1,1,91
36.5 độ C,1,1,91
88 l/p,1,1,91
120/70 mmHg,1,1,91
20 l/p,1,1,91
92 %,1,1,91
dưới ngưỡng điều trị 1.7,1,1,91
tăng bạch cầu,1,1,92
Bạch cầu tăng,1,1,92
VAS 7/10,1,1,94
130/76 mmHg,1,1,94
93 l/p,1,1,94
36.3 độ C,1,1,94
14 l/p,1,1,94
99 %,1,1,94
39.7 độ C,1,1,96
Phổi thông khí đều,1,1,96
nước tiểu có cặn,1,1,96
1.1-->0.8,1,1,96
nhiễm khuẩn đường tiết niệu có các vi khuẩn hỗn hợp,1,1,96
chỉ số marker viêm của anh ấy đã có xu hướng tăng,1,1,96
không thấy tình trạng viêm xương tủy nặng hơn,1,1,96
không thấy thâm nhiễm,1,1,96
82,1,1,96
6,1,1,96
90,1,1,97
6.6 mmol/l,1,1,97
1.9 mmol/l,1,1,97
81 G/L,1,1,97
10.9 G/L,1,1,97
không có hình ảnh tổn thương viêm cấp tính,1,1,97
đường huyết thấp,1,1,97
tổn thương tiêu xương lan tỏa,1,1,98
tăng cao,1,1,98
các tổn thương ổ tiêu xương lan tỏa,1,1,98
không có tổn thương cấp tính,1,1,100
12.3,1,1,100
không có quá trình cấp tính,1,1,100
