entity,index_ma,so_lan,so_file,cac_file,KHONG_NHAT_QUAN
viêm tủy xương mãn tính,M86.6,3,1,96,
tăng calci máu,E83.5,3,1,100,
ngoại tâm thu nhĩ,I49.1,2,1,1,
ngoại tâm thu thất,I49.3,2,1,1,
nhịp tim chậm tương đối,R00.1,2,1,3,
nhồi máu cơ tim vùng dưới cũ,I25.2,2,1,3,
viêm dạ dày,K29.7,2,1,4,
sỏi đoạn cuối ống mật chủ,K80.5,2,1,4,
bệnh trào ngược dạ dày- thực quản không có viêm thực quản,K21.9,2,2,"5,17",
Nghẽn tắc và hẹp động mạch cảnh,I65.2,2,1,6,
hội chứng nghiện rượu,F10.2,2,1,7,
nốt tuyến giáp thùy trái kích thước khoảng 1 cm,E04.1,2,1,8,
ung thư đại tràng,C18.9,2,2,"11,27",
tràn dịch màng phổi,J90,2,2,"11,16",
viêm phế quản,J40,2,2,"12,66",
viêm phổi,J18.9,2,2,"12,50",
hẹp 60% đoạn gần động mạch liên thất trước trái,I25.1,2,1,14,
"xuất huyết nội sọ không do chấn thương, không đặc hiệu",I62.9,2,1,15,
"bệnh phổi tắc nghẽn mạn tính, không xác định",J44.9,2,2,"16,73",
Viêm phổi bệnh viện,J18.9,2,1,16,
nhịp nhanh trên thất,I47.1,2,1,16,
bệnh thận mạn,N18.9,2,2,"20,32",
Phát hiện có gãy cổ xương đùi di lệch,S72.0,2,1,20,
chấn thương đầu,S09.9,2,2,"20,48",
tràn dịch màng tim,I31.3,2,1,20,
tràn dịch màng phổi hai bên,J90,2,1,20,
thoát vị hoành nhỏ,K44.9,2,1,20,
thay đổi khí phế thủng,J43.9,2,1,20,
xẹp phổi hai đáy,J98.1,2,1,20,
xuất huyết dưới nhện vùng trán phải,I60.9,2,1,23,
bầm dập nhu mô vùng trán phải và trán - thái dương phải,S06.3,2,1,23,
lớp dịch dưới màng cứng mỏng vùng thùy trán phải,I62.0,2,1,23,
nang màng nhện,G93.0,2,1,23,
tụ máu ngoài màng cứng phải cấp tính trên nền tổn thương mạn tính,I62.1,2,1,23,
viêm túi mật,K81.9,2,2,"28,64",
sa âm đạo,N81.9,2,1,29,
nhiễm khuẩn huyết do tụ cầu vàng nhạy cảm methicillin,A41.0,2,1,32,
Bệnh thận đa nang,Q61.3,2,1,36,
Suy thận,N17.9,2,1,36,
đào thải,T86.1,2,1,36,
tăng kali máu,E87.5,2,1,37,
loét tá tràng,K26.9,2,1,41,
hẹp gây hạn chế dòng chảy,I25.1,2,1,43,
phình mạch ACom bên phải,I67.1,2,1,45,
hẹp khoảng 65% của động mạch cảnh chung trái gần gốc với bằng chứng xơ vữa mảng loét,I65.2,2,1,45,
tắc hẹp 80% động mạch thận trái L,I70.1,2,1,46,
ngất xỉu do phản ứng thần kinh mạch máu,R55,2,1,48,
ngất xỉu,R55,2,1,48,
viêm bể thận,N10,2,2,"49,66",
hen suyễn,J45.9,2,2,"50,84",
Đái tháo đường type 2,E11.9,2,2,"51,73",
Cơn đau thắt ngực không ổn định,I20.0,2,1,53,
"viêm phổi thuỳ, không đặc hiệu",J18.1,2,1,54,
rung cuống nhĩ với đáp ứng thất nhanh,I48.0,2,1,54,
bệnh rễ thần kinh tuỷ sống ở ngón tay cái,M54.12,2,1,57,
nhiễm trùng răng miệng,K12.2,2,1,58,
tăng nhãn áp,G93.2,2,1,59,
viêm túi mật cấp tính không biến chứng,K81.0,2,1,63,
viêm túi mật không biến chứng,K81.9,2,1,64,
FNA của một nốt sần tuyến giáp phải có cấu trúc vi nang,E04.1,2,1,67,
bệnh phổi tắc nghẽn mạn tính,J44.9,2,2,"68,85",
ung thư biểu mô tuyến giật nhú,C73,2,1,69,
túi mật giãn nở rõ rệt,K82.1,2,1,70,
sỏi,K80.2,2,1,70,
giãn đường dẫn mật trong gan,K83.8,2,1,72,
một chỗ hẹp đơn lẻ,K83.1,2,1,72,
"ung thư biểu mô tuyến, biệt hóa vừa phải đến kém",C25.0,2,1,72,
một khối u có nguồn gốc từ đường mật tụy,C25.9,2,1,72,
"nhiễm khuẩn đường tiết niệu, vị trí không xác định",N39.0,2,1,74,
bàn chân vẹo bẩm sinh,Q66.0,2,1,79,
chấn thương gãy xương sườn trái,S22.4,2,1,80,
trầm cảm,F32.9,2,1,87,
tổn thương chi dưới,T14.9,2,1,87,
tổn thương dây thanh quản,J38.3,2,1,90,
bàng quang thần kinh,N31.9,2,2,"96,97",
liệt hai chi dưới,G82.2,2,2,"96,97",
hạ huyết áp,I95.9,2,1,96,
đa u tuỷ xương,C90.0,2,1,98,
nhồi máu cũ nhỏ ở vỏ não đỉnh trái,I69.3,2,1,100,
viêm tuyến mồ hôi,L73.2,1,1,1,
phình động mạch chủ nhỏ,I71.9,1,1,3,
sỏi ống dẫn mật chung đoạn cuối,K80.5,1,1,4,
viêm gan do men,K75.9,1,1,5,
giãn đường mật,K83.1,1,1,5,
tắc nghẽn đường mật,K83.1,1,1,5,
hẹp nặng,I65.2,1,1,6,
Rối loạn cảm xúc (trầm cảm),F32.9,1,1,7,
Bệnh đa xơ cứng,G35,1,1,7,
Ảo giác do rượu,F10.9,1,1,7,
loạn thần,F29,1,1,7,
nốt tuyến giáp thùy trái,E04.1,1,1,8,
u cơ trơn tử cung,D25.9,1,1,9,
u xơ tử cung,D25.9,1,1,9,
"U cơ trơn lớn nhất ở đoạn dưới của tử cung đo 4,1 x 4,8 x 4,1 cm",D25.9,1,1,9,
khối u trực tràng với hình ảnh của một u ác trực tràng đáng kể,C20,1,1,10,
u tuyến,D12.6,1,1,10,
bệnh gút không đặc hiệu,M10.9,1,1,11,
xơ gan mất bù,K74.6,1,1,11,
tăng áp lực tĩnh mạch cửa,K76.6,1,1,11,
U Sacoit,D86.8,1,1,12,
viêm phổi mắc phải cộng đồng,J18.9,1,1,12,
phù phổi,J81,1,1,12,
Bệnh phổi kẽ,J84.9,1,1,13,
Hội chứng kháng enzym tổng hợp protein,M35.8,1,1,13,
Tăng huyết áp nguyên phát,I10,1,1,13,
Suy giảm miễn dịch,D84.9,1,1,13,
Nhiễm virus Herpes simplex (HSV),B00.9,1,1,13,
Bệnh thủy đậu/Zona,B01.9;B02.9,1,1,13,
dị ứng theo mùa,J30.2,1,1,14,
dị ứng phấn hoa,J30.1,1,1,14,
thiếu máu cơ tim vùng dưới và thành bên,I25.9,1,1,14,
Bệnh động mạch vành mạn tính,I25.1,1,1,14,
thiếu máu cơ tim,I25.9,1,1,14,
Ung thư biểu mô tuyến đại tràng,C18.9,1,1,16,
ung thư tuyến đại tràng,C18.9,1,1,16,
xẹp phổi thùy dưới phải,J98.1,1,1,16,
áp xe/viêm khớp nhiễm trùng,M00.9,1,1,17,
nhiễm trùng,A49.9,1,1,17,
Thuyên tắc tĩnh mạch sâu chi dưới ở chân trái,I82,1,1,18,
tắc mạch phổi,I26.9,1,1,18,
thuyên tắc mạch phổi,I26.9,1,1,18,
bóc tách động mạch chủ Stanford loại B,I71.0,1,1,18,
bóc tách động mạch chủ loại B,I71.0,1,1,18,
Giai đoạn IV Ung thư phổi không tế bào nhỏ,C34.9,1,1,19,
Di căn não vùng trán phải dã phẫu thuật lấy u,C79.3,1,1,19,
Tắc mạch huyết khối tĩnh mạch chủ dưới (IVC) và tĩnh mạch chủ trên (SVC) phải,I82.3,1,1,19,
Sa van hai lá,I34.1,1,1,19,
bệnh tim mạch do xơ vữa động mạch với Nhồi máu cơ tim gần đây,I25.2,1,1,20,
rung nhĩ kịch phát,I48.0,1,1,20,
Rối loạn dáng đi với nhiều lần ngã,R26,1,1,20,
gãy cổ xương đùi di lệch,S72.0,1,1,20,
Chấn thương tù ở Chi dưới phải (RLE),S80.1,1,1,20,
vết thương hở phần khác của chi dưới,S81.8,1,1,20,
hở van ba lá vừa-nặng (mod-severe TR),I36.1,1,1,20,
hở van hai lá/van động mạch chủ nhẹ (mild ARMR),I34.0,1,1,20,
"Gãy xương hông phải: gãy cổ xương đùi phải, lún đầu dưới",S72.0,1,1,20,
"Nhồi máu cơ tim vùng vách liên thất, mạn tính và đỉnh",I25.2,1,1,20,
rung nhĩ kịch phát liên tục kể từ Nhồi máu cơ tim,I48.0,1,1,20,
phình động mạch chủ ngực – bụng,I71.6,1,1,21,
bệnh mạch máu,I99,1,1,22,
khối máu tụ dưới màng cứng bán cấp hai bên,I62.0,1,1,22,
ăng huyết áp,I10,1,1,23,
Rối loạn lipid máu,E78.5,1,1,23,
xuất huyết dưới nhện,I60.9,1,1,23,
tụ dịch/tụ máu dưới màng cứng mạn tính,I62.0,1,1,23,
tụ máu dưới màng cứng mạn tính,I62.0,1,1,23,
ung thư vú trái giai IIIB,C50.9,1,1,24,
tách thành động mạch chủ,I71.0,1,1,25,
liệt hai chân,G82.2,1,1,25,
Rò động - tĩnh mạch đùi phải do thủ thuật can thiệp,I77.0,1,1,25,
"hội chứng turner, không đặc hiệu",Q96.9,1,1,27,
Thuyên tắc phổi,I26.9,1,1,27,
viêm tụy,K85.9,1,1,28,
rối loạn cảm xúc lưỡng cực khác,F31.8,1,1,28,
sỏi ống mật,K80.5,1,1,28,
tăng cholesterol máu đơn thuần,E78.0,1,1,30,
suy hô hấp,J96.90,1,1,32,
ngừng thở khi ngủ,G47.3,1,1,33,
Viêm loét đại tràng,K51.9,1,1,34,
Bệnh gan do rượu,K70.9,1,1,34,
hẹp ống sống,M48.00,1,1,35,
Giả gout,M11.20,1,1,35,
"bệnh thận mạn, không đặc hiệu Giai đoạn 4",N18.4,1,1,35,
cml,C92.1,1,1,35,
bệnh lý BK,B97.8,1,1,36,
Bệnh lý thận do BK,B97.8,1,1,36,
"Đái tháo đường, có biến chứng bệnh lý thần kinh ngoại biên",E11.4,1,1,37,
Suy tim không do thiếu máu cơ tim,I50.9,1,1,37,
Bệnh thận mạn tính,N18.9,1,1,37,
Tăng gánh nhẹ tuần hoàn phổi,J81,1,1,37,
tràn dịch màng phổi hai bên nhẹ,J90,1,1,37,
bệnh tim mạch do xơ vữa động mạch đặt stent,I25.1,1,1,38,
Suy tim dãn tâm thu giữ nguyên trương lực,I50,1,1,38,
viêm họng do liên cầu,J02.0,1,1,38,
bất thường điện giải,E87.8,1,1,39,
viêm túi mật thủng cấp tính,K81.0,1,1,39,
ngưng thở khi ngủ do tắc nghẽn,G47.3,1,1,40,
giãn phế quản,J20.9,1,1,40,
viêm phổi thùy dưới phải (RLL PNA),J18.9,1,1,40,
loét ở tá tràng,K26.9,1,1,41,
bệnh tim mạch,I51.9,1,1,42,
thận bệnh,N18.9,1,1,42,
nhiễm trùng tụ cầu,A49.0,1,1,43,
ung thư biểu mô tế bào mật,C24.0,1,1,47,
xuất huyết dưới màng cứng,I62.0,1,1,48,
Khối sa âm đạo,N81.9,1,1,49,
tiểu máu,R31,1,1,49,
sỏi thận,N20.0,1,1,49,
đợt cấp hen suyễn,J45.9,1,1,50,
hạ kali máu,E87.6,1,1,51,
nhiễm trùng đường hô hấp trên cấp,J06.9,1,1,51,
ung thư đường mật,C24.0,1,1,52,
nhiều nang tụy nhỏ,K86.2,1,1,52,
"blốc nhĩ thất, hoàn toàn",I44.2,1,1,53,
Suy giảm nhận thức nhẹ,G31.8,1,1,53,
rung nhĩ điển hình,I48.0,1,1,54,
viêm phổi thùy dưới trái,J18.1,1,1,54,
thiếu máu cơ tim cục bộ,I25.9,1,1,56,
"hẹp ống sống C4-5, C5-6, C6-7",M48.02,1,1,57,
hẹp lỗ liên hợp,M99.72,1,1,57,
bệnh Graves,E05.0,1,1,58,
não úng thuỷ khác,G91.8,1,1,59,
não úng tuỷ,G91.8,1,1,59,
não úng thủy,G91.8,1,1,59,
Trào ngược dạ dày thực quản,K21.0;K21.9,1,1,60,
thoát vị hoành,K44.9,1,1,60,
thoát vị cạnh thực quản,K44.9,1,1,60,
những thay đổi thoái hóa nghiêm trọng của khớp bánh chè đùi phải,M17.9,1,1,61,
loét mới ở ngón chân út bên phải,L97,1,1,62,
"Bệnh túi thừa ở cả ruột non và đại tràng, chưa có biến chứng thủng hoặc áp xe",K57.9,1,1,63,
thiếu máu hồng cầu nhỏ,D50.9,1,1,63,
"Tiền sử đã biết của bệnh túi thừa của cả ruột non và đại tràng, không thủng hay áp xe",K57.9,1,1,64,
rối loạn đông máu,D68.9,1,1,65,
Tiểu đường loại 1 đái tháo đường,E10.9,1,1,66,
"Nhiễm trùng đường tiết niệu (UTIs) tái phát nhiễm khuẩn đường tiết niệu, vị trí không xác định",N39.0,1,1,66,
huyết khối tĩnh mạch sâu (DVT),I82,1,1,66,
tâm thần phân liệt,F20.9,1,1,68,
khối ở chỗ uốn gan,C18.3,1,1,69,
ung thư biểu mô tuyến trên sinh thiết,C18.9,1,1,69,
tiền sử khối u thận,C64,1,1,69,
Tăng huyết áp phổi,I27.2,1,1,71,
Suy tim sung huyết cấp,I50.9,1,1,71,
graft SVG bị tắc,I25.8,1,1,71,
Bệnh động mạch vành phải,I25.1,1,1,71,
u ác của đầu tuỵ mới được chẩn đoán,C25.0,1,1,72,
Hội chứng mạch vành cấp,I24.9,1,1,73,
tăng huyết áp vô căn (nguyên phát),I10,1,1,73,
Đột quỵ,I63.9,1,1,73,
một khoang chứa dịch phức tạp lớn,K65,1,1,74,
mảng xơ vữa nhẹ,I25.1,1,1,76,
2 lần tự tử,T14.9,1,1,77,
Rối loạn cảm xúc,F39,1,1,77,
Rối loạn lưỡng cực,F31.9,1,1,77,
Lạm dụng chất kích thích,F19.1,1,1,77,
chất gây nghiện opioid,F11.2,1,1,77,
ung thư vú,C50.9,1,1,78,
ung thư phổi,C34.9,1,1,78,
chèn ép tim,I31,1,1,78,
"gãy 3 xương sườn 9, 10 và 11",S22.4,1,1,80,
xương sườn thứ 10 bị gãy vụn,S22.4,1,1,80,
đụng dập một vùng nhu mô phổi nhỏ,S27.3,1,1,80,
độ dày niêm mạc xoang hàm dày lên,J32.0,1,1,81,
Suy thận mạn giai đoạn V,N18.5,1,1,82,
u dây thần kinh số VIII,D33.3,1,1,82,
hở van hai lá nặng,I34.0,1,1,83,
tăng huyết áp (tăng huyết áp),I10,1,1,84,
Táo bón mãn tính,K59.0,1,1,84,
ngưng thở khi ngủ,G47.3,1,1,84,
viêm phổi kẽ,J84.9,1,1,84,
Đái tháo đường type II,E11.9,1,1,85,
bệnh động mạch vành sau phẫu thuật bắc cầu nối động mạch vành,I25.1,1,1,85,
suy tim,I50.9,1,1,85,
bệnh mạch máu ngoại biên,I73.9,1,1,85,
Ngưng thở khi ngủ do tắc nghẽn đang dùng BiPAP,G47.3,1,1,85,
"Ung thư biểu mô tế bào vảy xâm nhập của dương vậtbiệt hóa kém, sau cắt bao quy đầu với bờ diện cắt dương tính.",C60.9,1,1,85,
bệnh lý thần kinh ngoại biên,G62.9,1,1,86,
bệnh ba thân động mạch vành nghiêm trọng,I25.1,1,1,86,
Phẫu thuật cắt cụt chân trái bên trên gối,Z89.6,1,1,87,
cắt cụt chân phải bên dưới gối,Z89.5,1,1,87,
biến chứng thuyên tắc phổi hai bên,I26.9,1,1,87,
nhiễm trùng chi dưới bên phải do Enterococcus kháng vancomycin,L03.1,1,1,87,
cắt cụt chân trái trên gối,Z89.6,1,1,87,
chân phải dưới gối,Z89.5,1,1,87,
Đái tháo đường típ 1 có biến chứng viêm thần kinh ngoại biên,E10.4,1,1,88,
Viêm gan virus C và B,B19,1,1,88,
Tăng áp động mạch phổi mức độ trung bình,I27.2,1,1,88,
U lympho không hodgkin tế bàoB lớn lan toả,C83.3,1,1,88,
Loét 2 bàn chân,L97,1,1,88,
Loét bàn chân nhiễm trùng,L97,1,1,88,
khối u thần kinh nội tiết ở thân tụy,D13.7,1,1,89,
Tuột sonde dẫn lưu ổ bụng,T81.5,1,1,89,
u nội tiết từ thân tuỵ,D13.7,1,1,89,
rò ống tuỵ mật,K86.8,1,1,89,
Clostridioides difficile,A04.7,1,1,89,
nhiễm trùng vết mổổ,T81.4,1,1,89,
tuột ống sonde dẫn lưu ổ bụng,T81.5,1,1,89,
tổn thương dây thanh quản thật sự,J38.3,1,1,90,
Viêm nội tâm mạc,I33.9,1,1,91,
rối loạn chức năng tâm thất phải,I51.7,1,1,91,
Phẫu thuật thay van tim hai lá cơ học,Z95.2,1,1,91,
"Suy thận mạn giai V đang chạy thận nhân tạo chu kì các ngày thứ 2, thứ 6, chủ nhật, sau khi ghép thận thất bại",N18,1,1,91,
ghép thận thất bại,T86.1,1,1,91,
Nhiễm trùng đường tiết niệu kháng thuốc,N39.0,1,1,92,
đại tràng giãn,K59.3,1,1,92,
Theo dõi đại tràng giãn,K59.3,1,1,92,
Ung thư vú di căn,C50.9,1,1,93,
tràn dịch màng phổi trái tái phát,J91,1,1,93,
tràn dịch màng ngoài tim mức độ trung bình,I31.3,1,1,93,
ung thư di căn theo đường bạch huyết ở hai phổi,C78.0,1,1,93,
Ung thư vú di căn ER+/HER2−,C50.9,1,1,94,
loét tì đè giai đoạn IV mãn tính,L89.9,1,1,96,
nhiễm khuẩn đường tiết niệu tái phát,N39.0,1,1,96,
nhiễm trùng huyết,A41.9,1,1,96,
viêm tuỷ xương,M86.6,1,1,96,
nhiễm trùng huyết đường vào tiết niệu,A41.9,1,1,96,
viêm tủy xương,M86.6,1,1,97,
nhiễm trùng đường tiết niệu,N39.0,1,1,97,
nhịp chậm xoang,R00.1,1,1,97,
Đa u tủy xương,C90.0,1,1,98,
"rối loạn lo âu, không biệt định nghiêm trọng",F41.9,1,1,99,
U ác của đại tràng,C18.9,1,1,100,
cường cận giáp nguyên phát,E21.0,1,1,100,
Xơ vữa động mạch,I70.90,1,1,100,
cơn đau thắt ngực ổn định,I20.9,1,1,100,
